./Vasu/LLM/S20/train_get2.py:372: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  norm = torch.nn.utils.clip_grad_norm(model.parameters(), 1.0)
using device: cuda
loaded 338025 tokens
1 epoch = 41 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step153 | loss: 5.332609176635742 | dt: 3060.59ms | tok/sec:  2676.61 | norm: 0.96
step154 | loss: 5.188772678375244 | dt: 3063.40ms | tok/sec:  2674.15 | norm: 1.26
step155 | loss: 5.1056694984436035 | dt: 3066.09ms | tok/sec:  2671.80 | norm: 1.11
step156 | loss: 5.240720748901367 | dt: 3056.19ms | tok/sec:  2680.46 | norm: 1.20
step157 | loss: 5.069707870483398 | dt: 3061.80ms | tok/sec:  2675.55 | norm: 1.17
step158 | loss: 5.146145343780518 | dt: 3066.76ms | tok/sec:  2671.22 | norm: 0.87
step159 | loss: 5.10256814956665 | dt: 3065.17ms | tok/sec:  2672.61 | norm: 1.10
step160 | loss: 5.09345817565918 | dt: 3072.73ms | tok/sec:  2666.04 | norm: 0.98
step161 | loss: 4.8907904624938965 | dt: 3063.46ms | tok/sec:  2674.10 | norm: 0.83
step162 | loss: 4.80845832824707 | dt: 3055.30ms | tok/sec:  2681.24 | norm: 1.06
step163 | loss: 5.472188472747803 | dt: 3058.58ms | tok/sec:  2678.37 | norm: 1.45
step164 | loss: 5.31862211227417 | dt: 3065.94ms | tok/sec:  2671.94 | norm: 0.99
step165 | loss: 5.361739158630371 | dt: 3064.77ms | tok/sec:  2672.95 | norm: 1.12
step166 | loss: 5.041708469390869 | dt: 3067.74ms | tok/sec:  2670.37 | norm: 1.41
step167 | loss: 4.9449381828308105 | dt: 3067.25ms | tok/sec:  2670.79 | norm: 1.18
step168 | loss: 5.022709846496582 | dt: 3067.50ms | tok/sec:  2670.58 | norm: 1.01
step169 | loss: 5.1686601638793945 | dt: 3061.17ms | tok/sec:  2676.10 | norm: 0.74
step170 | loss: 5.179971218109131 | dt: 3068.47ms | tok/sec:  2669.73 | norm: 1.28
step171 | loss: 5.1398115158081055 | dt: 3069.39ms | tok/sec:  2668.94 | norm: 1.12
step172 | loss: 4.8694891929626465 | dt: 3067.80ms | tok/sec:  2670.31 | norm: 1.12
step173 | loss: 5.046502113342285 | dt: 3056.62ms | tok/sec:  2680.08 | norm: 0.97
step174 | loss: 5.078269004821777 | dt: 3066.42ms | tok/sec:  2671.52 | norm: 1.32
step175 | loss: 5.279639720916748 | dt: 3063.15ms | tok/sec:  2674.37 | norm: 0.90
step176 | loss: 5.383590221405029 | dt: 3071.14ms | tok/sec:  2667.41 | norm: 1.08
step177 | loss: 5.220472812652588 | dt: 3062.62ms | tok/sec:  2674.84 | norm: 0.89
step178 | loss: 5.2106547355651855 | dt: 3064.21ms | tok/sec:  2673.44 | norm: 0.79
step179 | loss: 4.993563652038574 | dt: 3060.61ms | tok/sec:  2676.59 | norm: 1.00
step180 | loss: 5.136338233947754 | dt: 3057.17ms | tok/sec:  2679.60 | norm: 0.97
step181 | loss: 5.247349262237549 | dt: 3066.04ms | tok/sec:  2671.85 | norm: 0.93
step182 | loss: 5.153207302093506 | dt: 3074.13ms | tok/sec:  2664.82 | norm: 0.97
step183 | loss: 4.996568202972412 | dt: 3069.70ms | tok/sec:  2668.67 | norm: 0.98
step184 | loss: 5.109915733337402 | dt: 3062.78ms | tok/sec:  2674.70 | norm: 0.94
step185 | loss: 4.922661304473877 | dt: 3066.15ms | tok/sec:  2671.75 | norm: 0.88
step186 | loss: 5.183777332305908 | dt: 3068.31ms | tok/sec:  2669.88 | norm: 0.92
step187 | loss: 4.902592658996582 | dt: 3069.99ms | tok/sec:  2668.41 | norm: 0.78
step188 | loss: 4.9258928298950195 | dt: 3071.38ms | tok/sec:  2667.20 | norm: 0.93
step189 | loss: 4.950471878051758 | dt: 3065.97ms | tok/sec:  2671.91 | norm: 0.91
step190 | loss: 5.3250250816345215 | dt: 3067.55ms | tok/sec:  2670.54 | norm: 1.12
step191 | loss: 5.191885948181152 | dt: 3064.77ms | tok/sec:  2672.96 | norm: 0.97
