               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  74,             0.62726,             0.52391,              1.1487,             0.96951,             0.94917,             0.97505,              0.8104,             0.58415,             0.42615,              1.0933,           0.0063865,           0.0063865,           0.0063865
                  75,             0.62407,              0.4948,               1.107,             0.94194,              0.9686,             0.97284,             0.81046,             0.61494,             0.49642,              1.0922,            0.006337,            0.006337,            0.006337
                  76,             0.63996,             0.50478,              1.1199,             0.93426,             0.91045,             0.93963,              0.6439,             0.87075,             0.56491,              1.4479,           0.0062875,           0.0062875,           0.0062875
                  77,             0.62907,             0.50651,               1.127,             0.94272,             0.98268,             0.98316,             0.81217,              0.6982,             0.40268,              1.1989,            0.006238,            0.006238,            0.006238
                  78,             0.61499,             0.47993,              1.1289,             0.98445,             0.94497,             0.98005,              0.8336,             0.58233,             0.38715,              1.0692,           0.0061885,           0.0061885,           0.0061885
                  79,             0.61874,             0.47788,              1.1036,              0.9412,             0.95565,             0.97869,             0.81592,             0.63368,             0.37938,              1.1694,            0.006139,            0.006139,            0.006139
                  80,             0.62102,             0.47543,              1.1099,             0.96708,              0.9403,             0.97597,              0.8136,             0.64778,             0.39475,              1.2339,           0.0060895,           0.0060895,           0.0060895
                  81,             0.61494,             0.48724,              1.0908,             0.96964,             0.95345,             0.98367,             0.80339,               0.666,             0.37647,              1.2415,             0.00604,             0.00604,             0.00604
                  82,             0.60038,             0.44992,              1.0942,             0.94835,             0.95522,              0.9783,               0.817,             0.65598,             0.42084,              1.1434,           0.0059905,           0.0059905,           0.0059905
                  83,             0.59514,             0.46111,              1.0963,             0.98452,             0.94905,             0.98515,             0.83317,              0.5941,             0.36706,              1.0887,            0.005941,            0.005941,            0.005941
                  84,             0.59863,             0.47739,              1.1015,             0.95368,             0.92199,             0.96866,             0.79532,             0.64057,             0.48366,              1.1488,           0.0058915,           0.0058915,           0.0058915
                  85,             0.63431,             0.49749,              1.1271,                0.96,              0.9403,             0.97643,              0.8088,              0.5981,             0.37994,              1.1083,            0.005842,            0.005842,            0.005842
                  86,             0.60631,             0.47719,              1.1134,             0.94064,             0.94602,              0.9699,             0.80464,             0.57183,             0.42677,              1.0979,           0.0057925,           0.0057925,           0.0057925
                  87,             0.62206,             0.49788,              1.1429,             0.92461,             0.91534,             0.96155,              0.7712,             0.59184,             0.41003,              1.1157,            0.005743,            0.005743,            0.005743
                  88,              0.6217,             0.49415,               1.144,             0.93966,             0.92983,              0.9807,             0.83024,              0.5282,             0.35838,              1.0883,           0.0056935,           0.0056935,           0.0056935
                  89,             0.59829,             0.48444,              1.1216,                   1,             0.95362,             0.99002,             0.83422,             0.59244,               0.352,              1.1379,            0.005644,            0.005644,            0.005644
                  90,             0.57345,             0.45483,              1.0877,                   1,              0.9516,             0.98701,             0.83805,             0.55341,             0.35071,              1.0933,           0.0055945,           0.0055945,           0.0055945
                  91,             0.59652,             0.46192,              1.1167,             0.99686,             0.95522,             0.98664,             0.82281,             0.54668,             0.33121,              1.0913,            0.005545,            0.005545,            0.005545
                  92,             0.59342,             0.47898,              1.1312,             0.95465,             0.94263,              0.9843,             0.84353,             0.52543,             0.35023,              1.0554,           0.0054955,           0.0054955,           0.0054955
                  93,             0.60243,             0.47101,              1.1027,             0.99203,              0.9403,             0.98699,             0.84389,             0.53486,             0.35315,              1.0903,            0.005446,            0.005446,            0.005446
                  94,             0.55225,             0.41188,              1.0401,             0.97914,             0.91045,             0.98145,             0.82844,             0.56244,             0.35446,              1.1032,           0.0053965,           0.0053965,           0.0053965
                  95,             0.58677,              0.4553,              1.1035,             0.97003,             0.96635,              0.9818,             0.83099,             0.57586,             0.34813,              1.1201,            0.005347,            0.005347,            0.005347
                  96,             0.55812,             0.45339,              1.0781,             0.97004,              0.9667,             0.98286,             0.81132,             0.64474,             0.32145,              1.2264,           0.0052975,           0.0052975,           0.0052975
                  97,             0.57201,             0.44747,              1.0709,             0.97001,             0.92537,             0.97557,             0.80478,             0.62882,             0.36017,              1.2024,            0.005248,            0.005248,            0.005248
                  98,             0.58045,             0.45466,              1.1013,             0.97231,             0.92537,             0.97282,             0.80216,             0.61999,             0.37972,              1.1969,           0.0051985,           0.0051985,           0.0051985
                  99,             0.57858,             0.46375,              1.0982,             0.95499,             0.95004,             0.98122,             0.83005,             0.58453,              0.3715,               1.101,            0.005149,            0.005149,            0.005149
                 100,             0.55128,              0.4266,              1.0614,             0.96753,             0.88968,             0.97931,             0.82353,             0.55501,             0.42125,              1.0596,           0.0050995,           0.0050995,           0.0050995
                 101,             0.58808,              0.4541,              1.0794,             0.99993,             0.91045,             0.97827,             0.82166,             0.58006,             0.37503,              1.0919,             0.00505,             0.00505,             0.00505
